Código,Nome,Setor,MO,MFCL,RA,RPL,NotaL,LC,D/PL,Receita,CLA,CRA,LPA,RPA,VPA,DPA
TAEE11,Transmissora Alianca de Energia Eletrica SA,Utilities,0.6847,0.8395999999999999,0.1177,0.233,15.765405354291996,3.8,0.72,1542000000.0,-0.1052,-0.10060000000000001,0.9888727624576681,1.4920174165457185,0,0
TIMP3,Tim Participacoes SA,Communication Services,0.1681,0.1369,0.0802,0.13470000000000001,0.2486068698966,0.93,0.16,16781000000.0,-0.0723,-0.0592,1.0396401531579533,6.931347401725712,8.07,0.27
UGPA3,Ultrapar Participacoes SA,Energy,0.027000000000000003,0.0026,0.0388,0.1183,0.00032222080800000004,2.35,1.3,89356000000.0,0.0824,0.0571,1.9482211698313279,160.59524986295955,17.4,1.46
USIM5,"Usinas Siderurgicas de Minas Gerais,S.A. Pfd Shs -A-",Basic Materials,0.1012,0.0055000000000000005,0.0277,0.0518,0.000798643076,2.5,0.38,13737000000.0,0.0,0.0138,0.580170459986593,10.962588182717784,11.61,0.05
VALE3,Vale SA,Basic Materials,0.34840000000000004,0.2801,0.040999999999999995,0.08960000000000001,0.35849501542400003,1.65,0.4,35929000000.0,-0.0001,-0.0697,0.7276037142797669,6.798978894761443,29.81,0.67
VIVT4,Telefonica Brasil SA Pfd Shs,Communication Services,0.161,0.059000000000000004,0.0876,0.1266,0.10534542983999999,1.07,0.07,58023000000.0,0.1916,0.021400000000000002,5.2797785899301,34.31323847709612,42.4,4.12
VVAR3,Via Varejo SA,Consumer Cyclical,0.0414,0.0118,0.0086,0.053099999999999994,0.00022308754319999997,0.8,0.17,26905000000.0,-0.40759999999999996,0.0425,0.11666087225248194,20.7864951520068,2.17,0.03
WEGE3,Weg SA,Industrials,0.12560000000000002,0.0727,0.0911,0.18539999999999998,0.15422406893280002,1.88,0.22,11970000000.0,0.05,0.0704,0.6375496745542394,5.703639465182545,3.68,0.25
ABCB4,Banco ABC Brasil SA Conv Pfd Shs,Financial Services,0,0.7404999999999999,0.013600000000000001,0.12029999999999999,0.0,0,4.59,1001000000.0,0.0407,0.057800000000000004,1.979794726546774,4.741087371467274,17.51,1.08
TIET3,AES Tiete Energia SA,Utilities,0.3105,0.2365,0.031400000000000004,0.1469,0.33872261494500006,1.1,2.63,2140000000.0,-0.1984,-0.1723,0.11487358822393233,1.0877410566336956,0.77,0.12
EALT3,Electro Aco Altona SA,Industrials,0.1353,0.0209,0.0447,0.1638,0.020704536052199997,1.06,0.2,149000000.0,0.0,-0.13269999999999998,0.4888888888888889,6.622222222222222,4.38,0
ADHM3,Advanced Digital Health Medicina Preventiva SA,Technology,0.0,0.0435,-3.5888999999999998,0.0,-0.0,0.04,0,0.0,0,0,-0.7933359777865926,0.0,-1.79,0
AFLT3,Afluente Transmissao de Energia Eletrica SA,Utilities,0.585,0.8867,0.2427,0.295,37.13850068175,19.57,0.03,27000000.0,-0.0669,-0.1195,0.22192280256796384,0.42799397638107317,0.82,0.08
BRGE3,Consorcio Alfa De Administracao SA,Financial Services,0.1411,0.1291,0.0192,0.0554,0.019376005516799997,1.46,0.06,651000000.0,-0.041100000000000005,0.036000000000000004,0.8282866686581756,8.839583955679874,15.39,0
RPAD3,Alfa Holdings SA,Financial Services,-6.1009,0.0,0.0533,0.053899999999999997,-0.0,3.86,0,0.0,-0.0364,-0.6911,0.590444250253891,0.0,11.25,0
BRIV3,Banco Alfa de Investimento SA,Financial Services,0,9.2005,0.0043,0.0379,0.0,0,7.25,210000000.0,-0.0069,-0.046,0.6546201510140969,2.370176408844144,16.06,0
ALSC3,Aliansce Shopping Centers SA,Real Estate,0.5236,0.6898000000000001,0.018799999999999997,0.036699999999999997,0.24919925602879994,3.62,0.77,501000000.0,-0.1841,0.0232,0.4488596006629311,2.471194065188225,12.43,0.12
AALR3,Centro de Imagem Diagnosticos SA - Alliar,Healthcare,0.055,0.043,0.0045000000000000005,0.0083,8.833275e-05,1.05,0.32,1074000000.0,0,0,0.08453585588327289,9.079150921863508,10.56,0
ALPA3,Alpargatas SA,Consumer Cyclical,0.13720000000000002,0.0286,0.08460000000000001,0.1452,0.048201119366400015,2.06,0.1,3905000000.0,0.013500000000000002,-0.0182,0.7057073015198214,8.300563290466574,5.14,0.43
ALUP3,Alupar Investimento SA,Utilities,0.6358,0.4793,0.030600000000000002,0.08529999999999999,0.7954234864091999,2.45,0.9,1646000000.0,-0.0302,0.0,0.3939630289608371,1.874170941241439,4.73,0.18
BAZA3,BCO Amazonia SA,Financial Services,0,1.5538999999999998,0.0015,0.0134,0.0,0,1.02,2139000000.0,-0.2978,0.24609999999999999,0.8770154489644472,72.15138635903664,63.5,0.64
CBEE3,Ampla Energia E Servicos SA,Utilities,0.11130000000000001,-0.0364,0.0242,0.083,-0.008137481352,0.97,0.74,5529000000.0,0.0,0.051699999999999996,1.3562658281023081,33.180503378662216,20.55,0
ANIM3,Anima Holding SA,Consumer Defensive,0.0438,0.07690000000000001,0.0812,0.1673,0.0457564603272,1.89,0.59,1083000000.0,0.0108,0.1467,1.4766535974336779,13.786343500178218,8.82,0.25
ARZZ3,Arezzo Industria E Comercio SA,Consumer Cyclical,0.1072,0.038900000000000004,0.1362,0.2073,0.11773912294080001,3.29,0.09,1778000000.0,0.052300000000000006,0.0851,1.5835751146154016,19.689486390113174,7.88,1.25
ATOM3,Atom Empreendimentos e Participacoes SA,Communication Services,0,0,1.1234,0,0.0,71.43,0,0,0,0,0.33494425570601466,0.0,0.07,0
AZEV3,Azevedo E Travassos SA,Industrials,-0.9416,-0.04650000000000001,-0.5881000000000001,0.0,-0.0,0.54,0,76000000.0,0.0,-0.4235,-3.1481481481481484,2.814814814814815,-3.35,0
AZUL4,Azul SA,Industrials,0.0941,-0.064,0.08560000000000001,0.32030000000000003,-0.16512023603200005,0.94,1.12,8926000000.0,0,0.10310000000000001,2.5839412182869888,26.329063144326096,8.71,0
BPHA3,Brasil Pharma SA,Consumer Defensive,-0.8212,-0.20489999999999997,-2.1306,0.0,-0.0,0.01,0,515000000.0,0,-0.47350000000000003,-3.528444212555602,4.554257567584298,-13.71,0
BRPR3,BR Properties SA,Real Estate,0.7595000000000001,0.6969,0.0013,0.0023,0.0015825936945,1.47,0.43,421000000.0,-0.2993,-0.1616,0.0343866285138836,1.0340550431674997,14.55,0.16
BPAC3,Banco BTG Pactual S.A.,Financial Services,0,4.3317000000000005,0.0178,0.1307,0.0,0,4.45,4699000000.0,0.0225,-0.011699999999999999,0.9362060335805615,1.7817870197630856,7.33,0.45
BAHI3,Bahema SA,Consumer Defensive,-0.0297,-0.38380000000000003,-0.0187,-0.0282,0.006011074832400001,1.26,0,44000000.0,0,0,-1.7065283241038594,37.54362313028491,49.7,0
BSLI3,BRB Banco de Brasilia SA,Financial Services,0,0.20170000000000002,0.0197,0.21289999999999998,0.0,0,0.77,2393000000.0,0.26530000000000004,0.04019999999999999,7.905247211127944,65.91378597989258,39.65,3.13
BMEB3,Banco Mercantil do Brasil SA,Financial Services,0,-0.22870000000000001,0.0046,0.0604,-0.0,0,1.48,2300000000.0,-0.16149999999999998,0.08839999999999999,0.8585164835164835,43.87973137973138,14.99,0
BPAN4,Banco Pan SA Pfd Shs,Financial Services,0,0.0956,0.0083,0.0579,0.0,0,0.79,4841000000.0,0.0,0.0148,0.19442814478766168,4.239759679806623,3.59,0.06
PINE4,Banco Pine SA Pfd Shs,Financial Services,0,-1.1306,0.0019,0.0187,-0.0,0,1.51,142000000.0,0.0,-0.26530000000000004,0.14029643812101805,1.1718878948932097,7.73,0
BNBR3,BCO Nordeste do Brasil SA,Financial Services,0,1.1348,0.0116,0.1745,0.0,0,1.93,6158000000.0,-0.0302,0.0574,7.43305044517257,71.29707888064281,44.87,1.73
BGIP3,BCO Estado de Sergipe SA - Banese,Financial Services,0,-0.46630000000000005,0.0192,0.26649999999999996,-0.0,0,0.81,744000000.0,0.0126,0.0836,6.346090938828917,48.67517173699706,24.94,1.63
BEES3,Banestes SA Banco Estado Espirito,Financial Services,0,0.7927,0.0070999999999999995,0.1255,0.0,0,9.42,1356000000.0,0.06269999999999999,0.0172,0.5729425506389417,4.29232098710721,4.72,0.22
BRSR3,BCO Estado do Rio Grande do Sul SA,Financial Services,0,0.23010000000000003,0.0139,0.1466,0.0,0,1.05,7976000000.0,0.057800000000000004,0.086,2.5649552294277878,19.50246225921452,17.79,0.99
BDLL4,Bardella SA Industrias Mecanicas Pfd Shs,Industrials,-0.5403,0.049,-0.11230000000000001,-0.3668,-1.0905363115080002,0.84,0.34,137000000.0,0.0,-0.3417,-61.25,85.625,132.48,0
BTTL3,Battistella Administracao e Participacoes SA,Industrials,-0.045599999999999995,-0.0366,-0.1134,-1.4579,0.27592224730559994,0.87,2.23,264000000.0,0.0,-0.3703,-0.9766260824272414,17.18861905071945,0.67,0
BALM3,Baumer SA,Healthcare,0.037000000000000005,0.028999999999999998,0.0070999999999999995,0.013600000000000001,0.00010360888000000001,2.1,0.2,108000000.0,-0.6113000000000001,-0.0191,0.10204081632653061,11.020408163265307,9.29,0.15
BMKS3,Bicicletas Monark SA,Consumer Cyclical,-0.1948,1.1047,0.0287,0.032400000000000005,-0.20010604733280007,35.1,0,16000000.0,-0.11560000000000001,-0.20579999999999998,13194.06267179769,35184.16712479384,411.98,34.48
BIOM3,Biomm SA,Healthcare,0.0,0.0,-0.1318,-0.4213,0.0,3.25,1.16,1000000.0,0,0.0,-0.7952619132327396,0.020927945085072095,2.42,0
BSEV3,BIOSEV SA,Consumer Defensive,-0.056799999999999996,-0.3193,-0.1574,0.0,-0.0,1.59,8.62,6915000000.0,0,0.1134,-1.3121919190929314,6.776554981723391,0.61,0
BOBR4,Bombril SA Pfd Shs,Consumer Defensive,0.045899999999999996,0.0495,0.21030000000000001,0,0.0,0.59,0,1053000000.0,0.0,-0.0165,2.552483122167761,19.476555997410525,-3.61,0
BBRK3,Brasil Brokers Participacoes SA,Real Estate,-0.9438,-0.6602,-0.26170000000000004,-0.3638,59.32283675706961,1.66,0,101000000.0,0.0,-0.3173,-2.949421555034277,2.7840334304529155,7.44,0
BRAP3,Bradespar SA,Financial Services,0.0,-0.46759999999999996,0.047,0.061500000000000006,-0.0,0,0.34,2276000000.0,0.37329999999999997,0.0,1.5975450674359402,6.539590959503957,26.32,2.03
AGRO3,Brasilagro - Cia Bras de Prop Agricolas,Consumer Defensive,0.3944,-0.0063,0.2087,0.2928,-0.15183467953919996,1.56,0.23,570000000.0,-0.11259999999999999,0.0084,4.060546081924594,10.019529293060685,16.41,0.76
BRKM3,Braskem SA,Basic Materials,0.16949999999999998,0.0231,0.058499999999999996,0.4471,0.10240996515749996,0.9,3.69,55792000000.0,0.0,0.0229,4.178274727521547,69.9832793749271,9.01,3.14
CCXC3,CCX Carvao da Colombia SA,Basic Materials,0,0,0.026099999999999998,0.0,0.0,0.25,0,0,0,0,0.0,0.0,-27.95,0
CEBR5,Companhia Energetica de Brasilia - CEB Pfd Shs -A,Utilities,0.0779,-0.0154,0.044800000000000006,0.2427,-0.0130438551936,0.69,0.65,2720000000.0,0.0,0.0862,10.543840177580465,188.67924528301887,43.91,0
CEED4,Companhia Estadual De Distribuicao De Energia Eletrica CEEE-D Pfd Shs,Utilities,-0.13699999999999998,-0.09210000000000002,-0.0599,0.0,-0.0,0.64,0,3121000000.0,0.0,0.026000000000000002,-22.828220225183347,322.3840512343766,-129.25,0
EEEL3,Companhia Estadual de Geracao e Transmissao de Energia Eletrica CEEE-GT,Utilities,0.28600000000000003,-0.0348,0.055,0.10800000000000001,-0.05911963200000002,1.73,0.22,1089000000.0,0,0.0132,27.063319904968495,112.48837929965913,250.55,14.44
CEGR3,CIA Distrib de Gas do Rio de Janeiro - CEG,Utilities,0.1481,0.053200000000000004,0.1168,0.2749,0.25297888461440005,0.89,0.61,4050000000.0,0.0183,0.0373,1.3749913340882305,15.598641185034548,5.16,0.87
CESP3,CESP - Cia Energetica de Sao Paulo,Utilities,-0.022000000000000002,0.1471,0.0096,0.0143,-0.0004442655360000001,1.35,0.01,1620000000.0,0.0,-0.3275,0.31450093586928973,4.946519573866499,22.45,0.04
COCE3,CIA Energetica  Do Ceara - COELCE,Utilities,0.1346,0.006999999999999999,0.08199999999999999,0.17800000000000002,0.013752351199999997,1.03,0.26,4594000000.0,0.0074,0.0825,5.600154132682551,59.00712863656798,33.18,1.99
CPFE3,CPFL Energia SA,Utilities,0.1351,-0.0395,0.044199999999999996,0.2006,-0.047315740653999995,1.1,1.65,28910000000.0,-0.0076,0.12179999999999999,1.8783585975184447,28.401332141348448,10.19,0.28
CPRE3,CPFL Energias Renovaveis SA,Utilities,0.3286,0.1909,0.0043,0.013000000000000001,0.003506592466,1.0,1.29,2011000000.0,0,0.1623,0.10718305078690223,3.9915762061566737,8.01,0
CRDE3,CR2 Empreendimentos Imobiliarios SA,Real Estate,-1.4583000000000002,0.5177,-0.0404,-0.048799999999999996,-1.4884225048032003,7.37,0,9000000.0,0.0,-0.40759999999999996,-3.7159372419488026,3.7159372419488026,71.32,0
CARD3,CSU Cardsystem SA,Financial Services,0.1332,0.038,0.10490000000000001,0.1757,0.093289995288,1.27,0.18,441000000.0,0.15289999999999998,0.0547,0.9808612440191388,10.55023923444976,5.88,0.33
CAMB4,Cambuci SA Pfd Shs,Consumer Cyclical,0.0758,-0.032799999999999996,0.284,0.0,-0.0,0.82,0.74,246000000.0,0.0,-0.029500000000000002,16.342412451361866,63.81322957198444,4.45,0
CAML3,Camil Alimentos SA,Consumer Defensive,0.0863,0.0086,0.0849,0.1734,0.0109261216188,3.01,0.53,4533000000.0,0,0,0.826724415439993,11.054695502033889,5.17,0.32
CRFB3,Atacadao SA,Consumer Defensive,0.0594,0.0138,0.0504,0.12689999999999999,0.0052427323871999994,1.12,0.18,52806000000.0,0,0,0.817250489039466,26.622905196926613,6.44,0
CEDO3,Cia de Fiacao e Tecidos Cedro e Cachoeira,Consumer Cyclical,0.0692,-0.0001,0.15,0.8251999999999999,-0.0008565576,0,0,635000000.0,0.0,0.0404,8.3,63.5,14.16,0
CLSC3,Centrais Eletricas de Santa Catarina SA,Utilities,0.0437,-0.1267,0.020099999999999996,0.09029999999999999,-0.0100494399537,0.86,0.2,7953000000.0,-0.494,0.0432,4.848076324795188,206.18583428393654,52.12,0.46
CELP5,Centrais Elet Do Para SA Preffered Shares Class A,Utilities,0.1597,0.0105,0.0645,0.2151,0.023264533057500005,1.51,1.06,5490000000.0,0.0,0.0891,0.248520870773674,2.48520870773674,1.25,0.06
RANI3,Celulose Irani SA,Basic Materials,0.054400000000000004,0.0661,-0.049,-0.1989,0.03504541622400001,0.96,1.86,923000000.0,0.0,0.051699999999999996,-0.45585412667946257,5.536228406909789,1.95,0
CMIG3,Energy Company of Minas Gerais,Utilities,0.133,-0.1016,0.0233,0.0693,-0.021818983032,0.93,0.81,22236000000.0,-0.31670000000000004,0.033,0.6676949443016281,15.243187660668381,10.1,0.03
HGTX3,CIA Hering SA,Consumer Cyclical,0.1241,0.1804,0.1419,0.1845,0.586120728402,3.29,0,1544000000.0,-0.0613,-0.0236,1.421121573861249,9.54005091322508,8.09,0.69
CEEB3,Companhia de Eletricidade do Estado da Bahia – Coelba,Utilities,0.1112,-0.1482,0.0472,0.15259999999999999,-0.11869967316479998,1.23,1.04,9237000000.0,0.052199999999999996,0.1065,2.438037970819852,35.24281179415176,19.86,1.18
